1 40 8 10 36 4 0 -563.488
2 103 18 22 88 6 0 1852.49
3 291 43 53 243 8 0 17141.2
4 669 65 91 517 5 0 32464.2
5 759 57 107 573 2 0 45436.2
6 826 52 127 662 2 0 55687.6
7 834 50 134 676 2 0 56359.4
8 785 57 154 616 2 0 48682.6
9 787 57 166 626 2 0 51302
10 771 63 183 621 3 0 48262.4
11 797 57 194 651 3 0 52354.1
12 794 60 203 647 3 0 52434.9
13 798 49 213 661 3 0 53778.3
14 799 48 219 649 3 0 52543.2
15 810 51 226 669 3 0 54446.3
16 800 49 233 659 3 0 53616
17 775 43 235 617 3 0 47794.1
18 794 44 240 643 3 0 52080.8
19 797 48 243 652 3 0 52624.1
20 796 49 252 644 3 0 51980.9
21 798 51 258 650 3 0 52162.8
22 776 53 264 634 3 0 49201.6
23 767 58 267 614 3 0 47425.6
24 783 54 271 631 3 0 50226.8
25 795 50 272 653 3 0 52372.1
26 716 57 282 558 4 0 39532.1
27 499 67 312 401 5 0 2414.18
28 481 70 338 394 9 0 12186.1
29 735 93 373 590 9 0 36251.7
30 1796 112 408 1396 5 0 234672
31 1600 107 442 1256 4 0 199800
32 935 92 472 729 4 0 59520.1
33 560 63 482 442 4 0 21185.5
34 309 39 487 247 4 0 6526.42
35 187 28 489 136 2 0 2438.83
36 97 22 501 84 9 0 -43.1378
37 142 32 519 121 11 0 695.627
38 212 40 537 158 3 0 2522.34
39 260 51 558 202 5 0 3339.58
40 224 36 569 176 4 0 2361.82
41 317 43 582 265 5 0 7066.96
42 287 37 601 249 5 0 319.618
43 146 19 604 128 5 0 -569.99
44 109 16 608 94 4 0 53.9782
45 202 32 631 159 4 0 2830.24
46 229 46 656 180 6 0 3292.92
47 380 56 679 295 5 0 9673.49
48 567 65 693 457 4 0 25785
49 495 65 714 410 6 0 19193
50 314 52 733 259 7 0 5375.61
51 268 38 738 204 4 0 4402.28
52 151 26 747 127 5 0 847.257
53 175 34 764 156 15 0 1793.43
54 242 39 785 202 7 0 3859.47
55 316 39 795 235 2 0 6809
56 301 35 802 242 2 0 7074.22
57 291 31 808 238 2 0 6969.74
58 318 35 818 259 2 0 7362.65
59 288 29 820 229 1 0 6078.78
60 271 29 824 210 1 0 5447.92
61 297 21 826 242 1 0 7297.74
62 297 23 830 236 1 0 6857.72
