t	N	S	f197536	f197553	f205457	f205440	f197537
191	1500	70	0	0	0	0	0
192	1497	60	0	0	0	0	0
193	1512	63	0	0	0	0	0
194	1504	68	0	0	0	0	0
195	1537	65	0	0	0	0	0
196	1521	69	0	0	0	0	0
197	1488	69	0	0	0	0	0
198	1523	65	0	0	0	0	0
199	1509	68	0	0	0	0	0
200	1504	65	0	0	0	0	0
201	1523	59	0	0	0	0	0
202	1521	68	0	0	0	0	0
203	1566	70	0	0	0	0	0
204	1540	75	0	0	0	0	0
205	1523	71	0	0	0	0	0
206	1531	73	0	0	0	0	0
207	1549	69	0	0	0	0	0
208	1546	65	0	0	0	0	0
209	1552	57	0	0	0	0	0
210	1535	60	0	0	0	0	0
211	1523	67	0	0	0	0	0
212	1547	59	0	0	0	0	0
213	1529	64	0	0	0	0	0
214	1532	65	0	0	0	0	0
215	1541	62	0	0	0	0	0
216	1539	68	0	0	0	0	0
217	1540	70	0	0	0	0	0
218	1490	69	0	0	0	0	0
219	1505	79	0	0	0	0	0
220	1522	74	0	0	0	0	0
221	1527	71	0	0	0	0	0
222	1537	73	0	0	0	0	0
223	1542	66	0	0	0	0	0
224	1502	69	0	0	0	0	0
225	1517	67	0	0	0	0	0
226	1514	68	0	0	0	0	0
227	1494	68	0	0	0	0	0
228	1502	66	0	0	0	0	0
229	1511	74	0	0	0	0	0
230	1529	72	0	0	0	0	0
231	1498	65	0	0	0	0	0
232	1526	66	0	0	0	0	0
233	1559	71	0	0	0	0	0
234	1559	66	0	0	0	0	0
235	1524	63	0	0	0	0	0
236	1493	64	0	0	0	0	0
237	1515	67	0	0	0	0	0
238	1524	73	0	0	0	0	0
239	1534	64	0	0	0	0	0
240	1541	66	0	0	0	0	0
241	1521	69	0	0	0	0	0
242	1504	64	0	0	0	0	0
243	1516	65	0	0	0	0	0
244	1523	69	0	0	0	0	0
245	1519	71	0	0	0	0	0
246	1506	57	0	0	0	0	0
247	1521	64	0	0	0	0	0
248	1542	59	0	0	0	0	0
249	1520	58	0	0	0	0	0
250	1505	66	0	0	0	0	0
251	1526	64	0	0	0	0	0
252	1544	64	0	0	0	0	0
