"n_hubs","mean_degree","lambda_4","lambda_5","gap_4","best_n","best_len","len_at_4"
0,17.953125,1.27629379555787,4.47166260406006,3.50363107587269,4,10,10
2,17.953125,1.27629379555787,4.47166260406006,3.50363107587269,4,10,10
4,19.40625,2.21840048040398,5.23642954428776,2.36045276339563,8,3,1
8,20.8359375,3.22122324379322,6.04497202788555,1.87660760226204,5,3,1
16,23.7109375,5.03635980187241,7.40976405491312,1.47125391084218,3,2,1
