"node","degree","is_hub","radius_t16","radius_t4","radius_tlate"
1,19,FALSE,0.196220683774485,0.0665137597789336,0.000488972357846273
2,21,FALSE,0.166358795254798,0.0561514109653751,0.000421246646261946
3,20,FALSE,0.174653905923735,0.0557719550712351,0.000431953212280883
4,66,TRUE,0.0341996158045057,0.0147563579795244,0.000119083802970692
5,25,FALSE,0.128199506573845,0.0472568520469755,0.000375525134847607
6,23,FALSE,0.146819219160128,0.0499723493817584,0.000361269410132483
7,21,FALSE,0.160850744701131,0.0537139806867959,0.000441244995730928
8,26,FALSE,0.116118057472717,0.0449645131712874,0.000378117589070734
9,21,FALSE,0.166232329922923,0.0558400445435926,0.000427843709793871
10,21,FALSE,0.169586025294349,0.0578954896344053,0.000426159397631792
11,17,FALSE,0.218700974230134,0.0604977486253061,0.000364061578916416
12,22,FALSE,0.157841345572271,0.055536349197491,0.000423741976596924
13,20,FALSE,0.177340601859847,0.0549517920933714,0.000381828284624468
14,18,FALSE,0.206053555713737,0.0637567772378259,0.000440244666174956
15,16,FALSE,0.23569934199984,0.0681917215619684,0.000468003259048449
16,17,FALSE,0.221642185766799,0.0675817759986095,0.000465621294622358
17,21,FALSE,0.173082038089927,0.0680193519949793,0.000566383760173729
18,16,FALSE,0.244525587728141,0.0831035304402505,0.00062359942606881
19,24,FALSE,0.141028797786016,0.0580581567302173,0.00049842313344269
20,24,FALSE,0.136553640747927,0.0539604512510633,0.000455015587202811
21,19,FALSE,0.196759037337503,0.0727741888810794,0.000597104184413124
22,19,FALSE,0.196226943838525,0.0710667201063893,0.000565835411204811
23,21,FALSE,0.168970574739232,0.0629255340799938,0.000527065942245708
24,20,FALSE,0.182770734962236,0.069200700392006,0.000576528922892505
25,22,FALSE,0.160226583049934,0.0611275638428774,0.000494583269746844
26,23,FALSE,0.154205566530783,0.0644665827381812,0.000547627072489639
27,18,FALSE,0.212835716020359,0.0753575447941257,0.000567477494170061
28,22,FALSE,0.156620053148616,0.0607386287050227,0.000519024225831049
29,20,FALSE,0.17427373393277,0.060699670478362,0.000514622556703528
30,21,FALSE,0.173192048285782,0.0659909656433291,0.000533091179009383
31,23,FALSE,0.150873473493352,0.0623855952523362,0.000536012238586528
32,19,FALSE,0.197747635308816,0.0729041026458705,0.000584652689252043
33,20,FALSE,0.183154700960516,0.0701142466865065,0.000588402263631526
34,23,FALSE,0.155570348195727,0.0659917498467211,0.000555334119871409
35,20,FALSE,0.180363700522811,0.0644821867504789,0.000490538562708172
36,19,FALSE,0.198958185855986,0.0736297274594845,0.000574149468217355
37,17,FALSE,0.229900574303882,0.0813871159775104,0.000614024724489457
38,22,FALSE,0.152136768379839,0.0561993953682228,0.000483837062081484
39,25,FALSE,0.135955843422317,0.0579455145973162,0.000488944528274606
40,21,FALSE,0.163466520416115,0.0583145494903061,0.000492056872721631
41,21,FALSE,0.169298511263293,0.065211989865464,0.000553918272836582
42,19,FALSE,0.19220517465512,0.0642476648480647,0.00049014402814734
43,17,FALSE,0.223360895184864,0.0761067955243513,0.000609486948436352
44,20,FALSE,0.183867874660318,0.0692408711479391,0.000570061565247679
45,15,FALSE,0.263732220003569,0.089142694533359,0.000664079119585205
46,18,FALSE,0.206490728126706,0.069420023196468,0.000545179898659732
47,21,FALSE,0.172416890077307,0.0666261522088203,0.000545759252921971
48,20,FALSE,0.184098207886548,0.070248054193502,0.000580150034928997
49,22,FALSE,0.153600568855651,0.0575491772313914,0.000494133761297945
50,18,FALSE,0.203768266983816,0.0654927584309592,0.000506779615901254
51,18,FALSE,0.206311290973645,0.0667840604528689,0.000468473845124985
52,71,TRUE,0.0377882749987865,0.0202377154448833,0.000183534830249164
53,18,FALSE,0.200089401474644,0.05888473930886,0.000404241937658434
54,20,FALSE,0.176779506441784,0.0578384174073604,0.000441918119330871
55,20,FALSE,0.178912813042349,0.0618376387804057,0.000473346707307294
56,15,FALSE,0.262268502457971,0.0837953998869152,0.000560577174496086
57,19,FALSE,0.190821796884216,0.0634041066551484,0.000461876646017369
58,17,FALSE,0.219763016199223,0.0690421450568369,0.000518238433579314
59,25,FALSE,0.131038946480677,0.0558600405599089,0.00048145806601988
60,23,FALSE,0.145973567917612,0.053367442266834,0.000411635661603036
61,15,FALSE,0.258416395835485,0.0787856073669626,0.000537378962649565
62,18,FALSE,0.207581536967356,0.0697657200727525,0.000516209467834188
63,18,FALSE,0.203125130629658,0.0642155856174396,0.000484985142030773
64,15,FALSE,0.259875890767796,0.0797349246144892,0.00052762277536651
65,19,FALSE,0.196131647882959,0.0691943633988867,0.000630546708439156
66,22,FALSE,0.158281043131028,0.0595336472406698,0.000565247651034531
67,25,FALSE,0.130932937019691,0.0546795061179455,0.000590640990222379
68,16,FALSE,0.248276811414087,0.0844071069737778,0.000646421955318243
69,18,FALSE,0.210387364326109,0.0728091435189991,0.000672726647491666
70,18,FALSE,0.215241089052017,0.0782684239537325,0.000698256736972044
71,18,FALSE,0.204211818364022,0.0638551558436859,0.000494533176952158
72,17,FALSE,0.229102375761348,0.0787399645130855,0.000660180726084247
73,21,FALSE,0.171267418801956,0.0652731135282894,0.000638127783113451
74,19,FALSE,0.197938467324929,0.0732752414418246,0.000707415357071333
75,16,FALSE,0.235737581417292,0.07075054781527,0.000582015597940473
76,72,TRUE,0.0309259522264898,0.0116176456586365,9.5421184060882e-05
77,19,FALSE,0.192604388411703,0.0675554157541834,0.000671909974785923
78,17,FALSE,0.220969175122747,0.0696435290213313,0.000607428745586792
79,22,FALSE,0.157188126499408,0.0575707192573114,0.000531381182276485
80,25,FALSE,0.135038402779368,0.0560628779150543,0.000546524726988921
81,14,FALSE,0.280086946268296,0.0862620792427096,0.000710901707169249
82,19,FALSE,0.192830957912778,0.0646642030619225,0.000566122922512576
83,21,FALSE,0.165911363985019,0.0581056421577055,0.000600144585295177
84,18,FALSE,0.208362218071935,0.0730141235543332,0.000720430150306762
85,19,FALSE,0.202424551510455,0.0783799536986507,0.000752231468122701
86,18,FALSE,0.207460217267346,0.0735345518821042,0.000755614230058995
87,22,FALSE,0.16001186899641,0.0639962198576437,0.000646674473918067
88,18,FALSE,0.206723236066288,0.0696507797561909,0.000650513726392627
89,16,FALSE,0.24079607367827,0.0802640675831088,0.000779028592032247
90,21,FALSE,0.169302929928986,0.066114325991266,0.000722085402991869
91,21,FALSE,0.159972456346119,0.0544971256388667,0.000549330356163797
92,15,FALSE,0.26280769563329,0.0865460169559046,0.000780404398377795
93,16,FALSE,0.248110654653107,0.0884263525889896,0.000777105926362209
94,25,FALSE,0.137619019071119,0.0621324210372089,0.000668845624174878
95,21,FALSE,0.171269047813927,0.0626996988196098,0.00059814809146188
96,15,FALSE,0.265957352518278,0.0901047171249543,0.000751378902248386
97,66,TRUE,0.030862369232439,0.0137866806818801,0.000159728423368825
98,19,FALSE,0.197257492204058,0.0689665162335711,0.000627679879264673
99,21,FALSE,0.16805284018687,0.0581613862043096,0.000541533412243005
100,19,FALSE,0.191419310773665,0.0617558585604037,0.000491381080096682
101,20,FALSE,0.175805531773469,0.0576933879563346,0.000520113839542356
102,21,FALSE,0.170586627318507,0.0635070631978736,0.000627616955010842
103,16,FALSE,0.237472794428107,0.0697985699560993,0.000516759797957396
104,16,FALSE,0.239984457353141,0.0752029189192811,0.000634280997740865
105,15,FALSE,0.262494253675547,0.0837902721525324,0.0006843395853057
106,19,FALSE,0.19489712816552,0.0666744820632298,0.000589566213000338
107,19,FALSE,0.198772323586266,0.0713247411719869,0.000639545479966019
108,23,FALSE,0.148205316430489,0.0569261566167167,0.000548596756398008
109,22,FALSE,0.156646841339587,0.0540003772969531,0.000482093291219721
110,20,FALSE,0.184783430549704,0.0668886572548165,0.000601456812485638
111,25,FALSE,0.133430346105614,0.0555764107523401,0.000581505965013796
112,20,FALSE,0.180720591824659,0.0642576254861818,0.000647487256417434
113,22,FALSE,0.164316921708169,0.0702702722348575,0.000736995733153934
114,16,FALSE,0.242259011635715,0.084734708901202,0.000821334482019087
115,12,FALSE,0.330379373793654,0.107398113724594,0.000887431317530939
116,20,FALSE,0.183863244236293,0.0727413441446109,0.0007636272146049
117,15,FALSE,0.269502669177678,0.100176630359304,0.00093517644147031
118,26,FALSE,0.128827911120145,0.0593035551357795,0.000643925924751716
119,16,FALSE,0.246910331274158,0.0909400870889859,0.000900011440471155
120,20,FALSE,0.182334438512741,0.0692800272409705,0.000693111228858869
121,19,FALSE,0.201679115111338,0.0806894019499606,0.000822661805419814
122,17,FALSE,0.220174291786987,0.0713947139373235,0.000653276744592552
123,21,FALSE,0.173791717858327,0.0707627499326328,0.000726158553639946
124,22,FALSE,0.159612601333806,0.0663289123640188,0.000725610829840254
125,20,FALSE,0.189693336940918,0.0781222666852172,0.000784110850491833
126,19,FALSE,0.189710993287493,0.0675413397660311,0.000724594350972903
127,16,FALSE,0.243281006446512,0.0852394062058959,0.000829890867310989
128,13,FALSE,0.311808868265822,0.110610597515927,0.000911112530518946
129,18,FALSE,0.204107084051294,0.071155463649359,0.00070984749944551
130,21,FALSE,0.176538924733592,0.0749388120684169,0.000744001589866881
131,17,FALSE,0.22214047417697,0.0772073049119212,0.000715451393324592
132,15,FALSE,0.265327228922195,0.0927676106797542,0.00077081813084622
133,19,FALSE,0.19434862058839,0.0722955608436867,0.000700670953346945
134,25,FALSE,0.135326061829176,0.0612322223132324,0.00065044161214659
135,23,FALSE,0.160659377807794,0.0735932410994946,0.00074283593207285
136,21,FALSE,0.172058952014589,0.0688861971711111,0.000698171576675323
137,17,FALSE,0.231256275476448,0.0872879810690725,0.00078118889258598
138,20,FALSE,0.182691767038148,0.0714547267116024,0.000718284379607892
139,19,FALSE,0.197722879463615,0.076740446472757,0.000771732857037706
140,18,FALSE,0.215441059617273,0.0827352986785268,0.000763290366510797
141,21,FALSE,0.175830162561977,0.0723200321251318,0.00071002845841573
142,20,FALSE,0.178374218085837,0.0663900071076519,0.00066350861479437
143,17,FALSE,0.229836747660462,0.0865844628725739,0.00082298484073881
144,16,FALSE,0.253715805985184,0.0964288326293651,0.000823350167111249
145,19,FALSE,0.196211739196282,0.0726446542588238,0.000646416690076296
146,20,FALSE,0.183457242444496,0.0713915558670789,0.000685516100272217
147,21,FALSE,0.171243694921429,0.0662696413295969,0.0006066668494584
148,24,FALSE,0.147556114609094,0.0653672985240251,0.000654580243395734
149,20,FALSE,0.190421999369279,0.077282619500699,0.00070014892564433
150,25,FALSE,0.135419613252044,0.0587451636218171,0.000551165346964394
151,13,FALSE,0.312588452232976,0.110240712956842,0.000832304308538912
152,23,FALSE,0.157807091469265,0.0691278791625245,0.000662952278940655
153,15,FALSE,0.264732223239542,0.0916054795902139,0.000751580450978426
154,16,FALSE,0.249270802396018,0.09172016925287,0.000761067091999858
155,22,FALSE,0.164623281372457,0.0658135200479555,0.000583402039757292
156,22,FALSE,0.160461627786382,0.0665758176614228,0.000694161010330739
157,20,FALSE,0.179603006015674,0.0669725918923413,0.000669043977947939
158,17,FALSE,0.227820689454391,0.0825279939625686,0.000724032312233129
159,17,FALSE,0.228622084185124,0.0827556755569569,0.000753901648868212
160,17,FALSE,0.229555844281064,0.0824366745714325,0.000688528463328835
161,20,FALSE,0.175205235161678,0.0567458760477933,0.00052468950247501
162,24,FALSE,0.132851495653245,0.0481687255293284,0.000476055888532009
163,22,FALSE,0.153223784466271,0.0542215259551439,0.000549071281755335
164,65,TRUE,0.0391070656921212,0.0206473323238862,0.000225613831205339
165,18,FALSE,0.205414028360896,0.0658613383757276,0.000617008665765072
166,18,FALSE,0.207463659149664,0.0692351292084549,0.000647227094327889
167,17,FALSE,0.229779400162245,0.0787866218131034,0.000681511515318817
168,14,FALSE,0.279521219408076,0.0815107455674942,0.000616072462161016
169,21,FALSE,0.164754788802721,0.0565612974377131,0.000549416129782491
170,18,FALSE,0.205285540153961,0.0675657006599161,0.000695599266243547
171,20,FALSE,0.177489392562524,0.0611111590967398,0.000594220031201212
172,20,FALSE,0.176643782998555,0.059623610720381,0.00058399164794656
173,15,FALSE,0.26006160276934,0.0813334747595433,0.000716757503467058
174,21,FALSE,0.166477588648929,0.0536024374129718,0.000442020467288629
175,22,FALSE,0.157348625310398,0.059860061233112,0.000614199972827096
176,15,FALSE,0.254647800418537,0.0721937914133353,0.000543652795701146
177,22,FALSE,0.154778680997276,0.0545827610823537,0.000551166421558135
178,16,FALSE,0.232427053098255,0.0667016653988374,0.000645090200616749
179,23,FALSE,0.14505460684177,0.0548018849326852,0.000582730789003257
180,18,FALSE,0.198750387101392,0.0601417790742129,0.000607340612941497
181,21,FALSE,0.158305672098454,0.0496323907665369,0.000514213133251001
182,22,FALSE,0.152464786147042,0.054918190292409,0.000562244191304735
183,20,FALSE,0.174026238983975,0.0571877011289038,0.000583637093634896
184,16,FALSE,0.238448733421372,0.0732440361161933,0.000670573848959687
185,24,FALSE,0.139648556461469,0.0555061611282776,0.000583802175889455
186,16,FALSE,0.237406527852758,0.0702678999143277,0.00065148410375548
187,17,FALSE,0.219294077866852,0.063689949858949,0.000526230877457544
188,16,FALSE,0.240630717707041,0.0765964755702384,0.000705506533668242
189,20,FALSE,0.173776117060855,0.0530660499480991,0.000477449096754077
190,22,FALSE,0.155957395954312,0.0584092209376128,0.000616970924296581
191,66,TRUE,0.0320172833461413,0.0123015202563613,0.000109219934701293
192,19,FALSE,0.198819889228089,0.0724177783935797,0.000702090624968263
193,18,FALSE,0.20225527579739,0.0611350124340667,0.000454369146148516
194,16,FALSE,0.244943506178028,0.0816845146663981,0.000607385340163974
195,17,FALSE,0.223313149473263,0.068808432930421,0.00047981723673071
